,Artista,link
99,Owl City,https://www.bandsintown.com/a/203078?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
100,Selena Gomez,https://www.bandsintown.com/a/257491?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
101,The All-American Rejects,https://www.bandsintown.com/a/55?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
102,Sleeping With Sirens,https://www.bandsintown.com/a/953731?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
103,Fun.,https://www.bandsintown.com/a/6280152?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
104,Two Door Cinema Club,https://www.bandsintown.com/a/212526?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
105,Jonas Brothers,https://www.bandsintown.com/a/667?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
106,Ne-Yo,https://www.bandsintown.com/a/46?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
107,Goo Goo Dolls,https://www.bandsintown.com/a/61?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
108,Vance Joy,https://www.bandsintown.com/a/2872341?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
109,tobyMac,https://www.bandsintown.com/a/817?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
110,Blackbear,https://www.bandsintown.com/a/1518375?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
111,3OH!3,https://www.bandsintown.com/a/3708?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
112,Meghan Trainor,https://www.bandsintown.com/a/1372992?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
113,Dua Lipa,https://www.bandsintown.com/a/1750816?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
114,Carly Rae Jepsen,https://www.bandsintown.com/a/251236?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
115,Gwen Stefani,https://www.bandsintown.com/a/381?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
116,Troye Sivan,https://www.bandsintown.com/a/645839?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
117,Nick Jonas,https://www.bandsintown.com/a/51648?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
118,Passion Pit,https://www.bandsintown.com/a/173766?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
119,Tove Lo,https://www.bandsintown.com/a/2377877?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
120,Christina Perri,https://www.bandsintown.com/a/1028533?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
121,Pentatonix,https://www.bandsintown.com/a/2068015?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
122,M83,https://www.bandsintown.com/a/3053?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
